# Please note that there may be discrepancies between your electric bill and what Sense reports due to data interruptions (such as Wi-Fi signal loss or loss of power) or other issues.,,,,,,,,
DateTime,Device ID,Name,Device Type,Device Make,Device Model,Device Location,Avg Wattage,kWh
3/2/2020 12:00,mains,Total Usage,,,,,1197.72,1.198
3/2/2020 12:00,always_on,Always On,AlwaysOn,,,,408.1,0.408
3/2/2020 12:00,c4efa971,Fridge,Fridge,,,,140.846,0.141
3/2/2020 12:00,cfd74978,Furnace,Furnace,,,,237.417,0.237
3/2/2020 12:00,solar,Solar Production,Solar,,,,-6422.288,-6.422
3/2/2020 12:00,e5c541e5,Dryer - Small,Mystery Heat,,,,18.257,0.018
3/2/2020 12:00,63b2178f,Furnace1,Mystery Heat,,,,43.533,0.044
3/2/2020 13:00,mains,Total Usage,,,,,1275.94,1.276
3/2/2020 13:00,always_on,Always On,AlwaysOn,,,,405.566,0.406
3/2/2020 13:00,c4efa971,Fridge,Fridge,,,,151.1,0.151
3/2/2020 13:00,cfd74978,Furnace,Furnace,,,,532.477,0.532
3/2/2020 13:00,solar,Solar Production,Solar,,,,-5638.84,-5.639
3/2/2020 13:00,63b2178f,Furnace1,Mystery Heat,,,,87.884,0.088
3/2/2020 14:00,mains,Total Usage,,,,,1317.837,1.318
3/2/2020 14:00,always_on,Always On,AlwaysOn,,,,396.283,0.396
3/2/2020 14:00,c4efa971,Fridge,Fridge,,,,42.182,0.042
3/2/2020 14:00,cfd74978,Furnace,Furnace,,,,165.375,0.165
3/2/2020 14:00,solar,Solar Production,Solar,,,,-4346.651,-4.347
3/2/2020 14:00,62987bff,Dryer,Dryer,,,,295.391,0.295
3/2/2020 14:00,c947eccb,Motor 1,Mystery Motor,,,,30.484,0.03
3/2/2020 14:00,63b2178f,Furnace1,Mystery Heat,,,,29.126,0.029
3/2/2020 15:00,mains,Total Usage,,,,,3112.031,3.112
3/2/2020 15:00,always_on,Always On,AlwaysOn,,,,389.566,0.39
3/2/2020 15:00,c4efa971,Fridge,Fridge,,,,17.259,0.017
3/2/2020 15:00,cfd74978,Furnace,Furnace,,,,248.133,0.248
3/2/2020 15:00,solar,Solar Production,Solar,,,,-3252.638,-3.253
3/2/2020 15:00,63b2178f,Furnace1,Mystery Heat,,,,13.553,0.014
3/2/2020 16:00,a69d3ea2,Microwave,Microwave,,,,28.265,0.028
3/2/2020 16:00,mains,Total Usage,,,,,2562.607,2.563
3/2/2020 16:00,always_on,Always On,AlwaysOn,,,,403,0.403
3/2/2020 16:00,c4efa971,Fridge,Fridge,,,,90.135,0.09
3/2/2020 16:00,solar,Solar Production,Solar,,,,-1068.14,-1.068
3/2/2020 17:00,mains,Total Usage,,,,,686.705,0.687
3/2/2020 17:00,always_on,Always On,AlwaysOn,,,,403,0.403
3/2/2020 17:00,c4efa971,Fridge,Fridge,,,,40.764,0.041
3/2/2020 17:00,solar,Solar Production,Solar,,,,-134.226,-0.134
3/2/2020 18:00,mains,Total Usage,,,,,768.737,0.769
3/2/2020 18:00,always_on,Always On,AlwaysOn,,,,403.883,0.404
3/2/2020 18:00,c4efa971,Fridge,Fridge,,,,16.65,0.017
3/2/2020 18:00,solar,Solar Production,Solar,,,,2.035,0.002
3/2/2020 19:00,a69d3ea2,Microwave,Microwave,,,,69.185,0.069
3/2/2020 19:00,mains,Total Usage,,,,,1137.754,1.138
3/2/2020 19:00,always_on,Always On,AlwaysOn,,,,404,0.404
3/2/2020 19:00,c4efa971,Fridge,Fridge,,,,151.1,0.151
3/2/2020 19:00,solar,Solar Production,Solar,,,,3.164,0.003
3/2/2020 20:00,mains,Total Usage,,,,,1102.556,1.103
3/2/2020 20:00,always_on,Always On,AlwaysOn,,,,404,0.404
3/2/2020 20:00,c4efa971,Fridge,Fridge,,,,92.653,0.093
3/2/2020 20:00,solar,Solar Production,Solar,,,,2.715,0.003
3/2/2020 21:00,mains,Total Usage,,,,,1037.938,1.038
3/2/2020 21:00,always_on,Always On,AlwaysOn,,,,404,0.404
3/2/2020 21:00,c4efa971,Fridge,Fridge,,,,24.805,0.025
3/2/2020 21:00,solar,Solar Production,Solar,,,,2.409,0.002
3/2/2020 21:00,63b2178f,Furnace1,Mystery Heat,,,,0.781,0.001
3/2/2020 22:00,mains,Total Usage,,,,,1939.902,1.94
3/2/2020 22:00,always_on,Always On,AlwaysOn,,,,404,0.404
3/2/2020 22:00,c4efa971,Fridge,Fridge,,,,75.601,0.076
3/2/2020 22:00,solar,Solar Production,Solar,,,,6.538,0.007
3/2/2020 22:00,63b2178f,Furnace1,Mystery Heat,,,,148.896,0.149
3/2/2020 23:00,mains,Total Usage,,,,,1240.731,1.241
3/2/2020 23:00,always_on,Always On,AlwaysOn,,,,404,0.404
3/2/2020 23:00,c4efa971,Fridge,Fridge,,,,123.104,0.123
